Sole Society	2004
Acne	2000
Vans	2000
Perricone MD	1964
Rene Caovilla	1956
Sabatier	1952
Konstantino	1945
Ashworth	1943
James Jeans	1943
Yosi Samra	1943
Babyletto	1942
Jean-Michel Cazabat	1942
Graham & Spencer	1939
Mottahedeh	1939
Jessica McClintock	1937
Judith Jack	1936
Happy Socks	1932
Urbanears	1930
Kinerase	1927
Talika	1927
Dav	1923
Casadei	1922
Junya Watanabe	1922
Band of Outsiders	1920
Barbara Barry	1920
Lela Rose	1917
Penfield	1914
Hart Schaffner Marx	1913
Rachel Comey	1913
Prevage	1912
Nat Nast	1911
Dash	1910
Mpg	1908
Hobbs	1907
Artisan	1906
Nadri	1905
Doma	1904
Grenson	1904
Caspari	1902
S.T. Dupont	1900
Esprit	1899
Silk'n	1898
Brixton	1897
SoftWalk	1897
Kartell	1895
Nic + Zoe	1895
Asha	1894
Core Bamboo	1894
Mishka	1894
Magaschoni	1893
Red Jacket	1886
SIGG	1886
Sonia Rykiel	1886
Zirh	1884
Elomi	1882
Cocalo	1876
Seedling	1834
Zuo	1808
Paul Green	1802
Cynthia Vincent	1778
TW Steel	1778
Sequin	1777
Waxing Poetic	1777
Scanpan	1772
Swedish Hasbeens	1771
The Row	1767
Tourneau	1767
Bills Khakis	1761
Diptyque	1757
Matt Bernson	1757
Hale Bob	1754
Deborah Lippmann	1752
Revol	1751
La Blanca	1744
Eastland	1741
Stone Rose	1741
Catherine Malandrino	1739
Duralex	1739
Eva Franco	1738
Nina	1736
Mario Badescu	1733
Bumbo	1732
Chantal	1730
Delsey	1729
Carmen Marc Valvo	1726
Lois Hill	1726
Fashion Forms	1724
J.K. Adams	1723
Miracle Skin Transformer	1723
Buffalo David Bitton	1722
Kate Somerville	1718
Bosca	1717
Cheap Monday	1717
ARCONA	1716
Levels of Discovery	1715
GreenPan	1713
Abbyson Living	1712
Howe	1711
John Lobb	1709
La Femme	1708
Dogeared	1704
Hatley	1701
C Wonder	1700
Charisma	1700
Golden Goose	1692
Patience Brewster	1689
Western Chief	1669
P'kolino	1668
True Grit	1668
Robert Clergerie	1657
Swaddle Designs	1649
Scotch & Soda	1648
Prince Lionheart	1639
Piaget	1630
VPL	1629
Wink	1623
Thakoon	1622
Sergio Rossi	1611
T Tahari	1610
Torino	1609
Billy Reid	1598
Angel Dear	1587
Alberto Makali	1576
Kimberly McDonald	1568
Magnanni	1568
Blomus	1562
Naughty Monkey	1551
Biscotti	1550
Amrita Singh	1543
Ashbury	1542
Gerald Genta	1539
Momeni	1536
Dita	1534
ToyWatch	1533
Falke	1532
Karen Walker	1532
Kettler	1532
Miz Mooz Footwear	1530
Hommage	1528
Schylling	1528
Edushape	1526
Trend Lighting	1526
The Balm	1525
Superfine	1524
Kork-Ease	1523
Foxcroft	1520
Autumn Cashmere	1518
Salt Water Sandals	1518
Cesare Paciotti	1515
Foot Petals	1515
Derek Lam	1513
KUT from the Kloth	1513
DaVinci	1512
ERGObaby	1512
Eric Javits	1512
Ghurka	1511
Preen	1508
Corneliani	1507
Gypsy 05	1506
Costume National	1505
Stephen Joseph	1496
Goorin Brothers	1493
XCVI	1493
Romika	1492
Hairmax	1488
Penny Loves Kenny	1488
Twin-Set	1481
Xscape	1480
Rubbish	1475
Rosle	1474
Torn by Ronny Kobo	1473
Way Basics	1472
Pikolinos	1467
PHILIP B	1406
Blow	1404
Baby Genius	1392
Erin Fetherston	1390
Spiewak	1380
Meri Meri	1377
Primigi	1377
Only Hearts	1376
Shine	1374
TanTowel	1373
Three Dots	1373
Microplane	1372
Buccellati	1363
Travis Mathew	1363
J.A. Henckels International	1362
Naturino	1362
John Richard	1360
Robert Abbey	1360
Madera	1357
Andrew Christian	1355
Aramis	1354
Jumping Jacks	1353
Ezekiel	1350
Kassatex	1349
Zak Designs	1349
Profile By Gottex	1348
Rodarte	1348
Eva Solo	1347
Fagor	1347
Vigoss	1347
Kalorik	1345
EMU Australia	1344
Majorica	1344
Blu Dot	1342
Bacco Bucci	1341
Nuxe	1341
Poetic Licence	1341
Emanuel Ungaro	1339
Hard Tail	1338
Random House	1336
Chilewich	1333
Addict	1332
Kidsline	1331
Loeffler Randall	1331
Crumpler	1330
PJ Salvage	1328
Naeem Khan	1324
Charles Jourdan	1322
John Robshaw	1322
Cloudveil	1320
Lucien Piccard Watches	1314
Duchamp	1313
Minkpink	1311
David Lerner	1307
Lab Series	1300
St. Tropez	1276
OnGossamer	1269
Pronovias	1262
R13	1254
Romeo & Juliet Couture	1250
Vestal Watches	1245
Roland Mouret	1244
Plan B	1242
Amika	1240
Wolf Designs	1238
Zanella	1238
Pajar	1237
Tarina Tarantino	1229
